Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
17,17,chaque,each
18,18,parl̩,speak
19,19,arriv̩,come
20,20,devrait,should
21,21,b̩b̩,baby
22,22,longtemps,long time
23,23,heures,hours
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,28,place,square
29,30,compris,understood
30,31,savais,knew
31,32,̩taient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
35,36,affaire,case
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,40,donn̩,given
40,41,train,train
41,42,corps,body
42,43,endroit,place
43,44,yeux,eyes
44,45,fa̤on,way
45,46,̩coute,listen
46,47,dont,whose
47,48,trouve,find
48,49,premier,first
49,50,perdu,lost
50,51,main,hand
51,52,premi̬re,first
52,53,c̫t̩,side
53,54,pouvoir,power
54,55,vieux,old
55,56,sois,be
56,57,tiens,here
57,58,matin,morning
58,59,tellement,so much
59,60,enfant,child
60,61,point,point
61,62,venu,came
62,63,suite,after
63,64,venez,come
64,65,devant,in front of
65,66,vers,towards
66,67,minutes,minutes
67,68,demand̩,request
68,69,chambre,bedroom
69,70,mis,placed
70,71,belle,beautiful
71,72,droit,law
72,73,aimerais,would like to
73,74,aujourd'hui,today
74,75,mari,husband
75,76,cause,cause
76,77,enfin,finally
77,78,esp̬re,hope
78,79,eau,water
79,80,attendez,Wait
81,82,boulot,job
82,83,arr̻ter,Stop
83,84,dirait,would say
84,85,terre,Earth
85,86,compte,account
86,87,donne,given
87,88,loin,far
88,89,fin,end
89,90,croire,believe
90,91,ch̩rie,sweetheart
91,92,gros,large
92,93,plut̫t,rather
93,94,aura,will have
94,95,filles,girls
95,96,jouer,to play
96,97,bureau,office
